puzzle_id,fen_string,solution_moves,difficulty_elo,tag_id
58,consectetuer,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,2056,26
59,nisi volutpat eleifend donec ut dolor,scelerisque quam turpis adipiscing lorem,727,185
60,rhoncus,phasellus,297,172
61,in felis eu sapien cursus,cum sociis,2997,9
62,a feugiat et eros vestibulum ac,fusce posuere felis sed lacus morbi sem mauris laoreet,1703,179
63,adipiscing lorem vitae mattis nibh ligula,eget orci vehicula condimentum curabitur in libero ut,2565,46
64,turpis a pede posuere,erat tortor sollicitudin mi sit,976,79
65,non,luctus et ultrices posuere,1363,6
66,duis bibendum,eu,1723,90
67,primis in faucibus orci,orci,535,237
68,primis in faucibus orci,donec ut mauris eget massa tempor,2096,149
69,placerat ante,ut volutpat sapien arcu sed augue aliquam erat volutpat in,227,82
70,nec sem duis aliquam convallis,quis tortor id nulla ultrices aliquet maecenas,1960,241
71,enim blandit mi in porttitor,aliquam non mauris morbi non lectus aliquam sit amet diam,1000,124
72,arcu sed augue aliquam erat volutpat,duis faucibus,1313,283
73,blandit lacinia erat,nulla eget,3000,177
74,volutpat sapien arcu sed augue aliquam,elementum in hac habitasse platea dictumst morbi vestibulum velit id,1266,144
75,morbi sem mauris,in faucibus orci luctus et ultrices posuere cubilia curae,635,167
76,fringilla rhoncus mauris enim leo rhoncus,bibendum felis,1678,141
77,odio curabitur convallis duis consequat,congue etiam justo etiam pretium iaculis justo in,1369,46
78,maecenas pulvinar,ornare consequat,622,43
79,ut volutpat sapien arcu,orci vehicula condimentum curabitur in libero ut massa volutpat,2126,134
80,habitasse platea dictumst morbi,sapien sapien non mi integer,1660,231
81,sollicitudin,in hac habitasse platea dictumst morbi vestibulum velit,815,5
82,posuere cubilia curae mauris viverra diam,et ultrices posuere cubilia curae,177,157
83,eget rutrum at,mauris enim leo,2842,12
84,dui maecenas tristique est,at velit vivamus vel nulla eget eros elementum pellentesque,279,247
85,et magnis dis parturient,integer ac neque duis bibendum morbi non quam nec,1181,277
86,praesent blandit,pulvinar sed nisl nunc rhoncus dui vel,2796,233
87,sapien varius ut blandit non interdum,quam pharetra magna ac consequat metus,2883,212
88,quis turpis eget elit,aliquet at feugiat non pretium quis lectus suspendisse,285,264
89,molestie hendrerit at vulputate vitae nisl,amet eros suspendisse accumsan tortor quis turpis sed ante,1767,12
90,venenatis,ut suscipit a feugiat et eros vestibulum ac est lacinia,1118,80
91,mauris ullamcorper purus,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,2355,159
92,quam pharetra magna ac,diam in magna bibendum imperdiet nullam orci,478,40
93,tortor quis turpis sed ante vivamus,ut erat id mauris vulputate elementum nullam varius nulla facilisi,306,249
94,risus dapibus augue vel accumsan tellus,accumsan odio curabitur convallis duis consequat dui nec,1625,284
95,justo in blandit ultrices enim,libero,873,42
96,pede libero quis orci,sapien quis libero nullam sit amet turpis elementum,2584,280
97,vestibulum ante ipsum primis,ante vivamus tortor duis mattis egestas metus aenean fermentum donec,2784,86
98,phasellus id sapien,amet diam in magna bibendum imperdiet,84,28
99,in lectus pellentesque at nulla suspendisse,suspendisse,766,118
100,amet consectetuer adipiscing elit,in,987,1
101,at turpis donec posuere,sociis natoque penatibus et,1203,95
102,adipiscing lorem vitae mattis nibh,sit amet consectetuer adipiscing elit proin,1983,141
103,at nulla suspendisse potenti cras in,luctus cum sociis natoque penatibus et magnis dis parturient montes,297,15
104,ante vestibulum ante ipsum primis in,consequat dui nec,327,93
105,tincidunt in leo maecenas pulvinar,eget tempus vel pede morbi porttitor lorem id ligula,2395,66
106,etiam faucibus cursus,mi sit amet lobortis sapien,1060,166
107,sapien,integer a nibh in quis justo maecenas rhoncus,359,43
108,at ipsum,elementum nullam varius nulla facilisi cras,1374,142
109,vel lectus in quam fringilla,nulla ac,2244,91
110,ultricies eu nibh quisque id,tortor id,618,257
111,risus dapibus augue vel,nibh fusce lacus purus,110,209
112,ac tellus semper interdum,est donec odio justo sollicitudin ut suscipit a feugiat,1944,292
113,condimentum,eu mi nulla ac enim,1895,156
114,ante vivamus tortor duis mattis egestas,facilisi cras non velit nec nisi vulputate nonummy,1516,289
115,convallis,id turpis integer aliquet massa id lobortis convallis,369,99
116,nec sem,convallis duis consequat dui nec nisi volutpat eleifend donec ut,2131,204
117,lectus in,dui maecenas tristique est et tempus semper est,512,168
118,sollicitudin,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,1001,240
119,massa id lobortis convallis tortor risus,lectus pellentesque at,806,70
120,ultrices,posuere nonummy integer non velit donec diam neque vestibulum,2373,11
121,pede venenatis non,augue vestibulum ante ipsum,2333,207
122,in est,nulla nisl nunc nisl,2583,214
123,praesent lectus,nisl venenatis lacinia aenean sit,13,263
124,ultrices posuere cubilia curae duis,quis turpis sed,675,48
125,eget tempus vel pede morbi porttitor,odio donec vitae nisi,1877,261
126,sapien in sapien iaculis congue vivamus,nunc rhoncus dui vel sem sed,2897,74
127,nulla nisl nunc,pede ac,1730,162
128,pretium nisl ut volutpat sapien arcu,lectus vestibulum quam sapien varius ut blandit non interdum in,1463,62
129,vestibulum velit id pretium,ipsum praesent blandit lacinia,2331,212
130,facilisi cras,vivamus vestibulum sagittis sapien cum,168,162
131,eget congue eget semper rutrum,odio donec vitae nisi nam ultrices libero,1836,212
132,blandit mi in porttitor pede,mi nulla ac enim in tempor turpis nec euismod scelerisque,2443,74
133,at vulputate vitae nisl aenean lectus,sagittis dui vel nisl,1891,267
134,sagittis nam congue risus semper,sed,2843,72
135,sapien,duis faucibus accumsan odio curabitur convallis,259,2
136,id,cras mi pede malesuada in imperdiet et,2453,116
137,sit amet erat nulla tempus,curabitur convallis duis consequat dui nec nisi volutpat eleifend,1463,287
138,vestibulum eget vulputate ut,duis bibendum morbi non quam nec dui luctus,1612,288
139,nisl ut volutpat sapien,platea dictumst maecenas ut,1455,120
140,a feugiat et,cubilia curae mauris viverra,1032,178
141,et magnis,dolor quis odio,2718,152
142,nisi vulputate nonummy,pharetra magna ac consequat metus,337,191
143,ut rhoncus aliquet,sit amet lobortis sapien sapien non mi,1686,84
144,ultrices erat tortor,ut erat curabitur gravida nisi at nibh in hac habitasse,542,110
145,enim sit,nulla sed accumsan felis ut at dolor quis odio,377,31
146,nec,volutpat in congue etiam justo etiam pretium iaculis justo,520,161
147,posuere metus vitae ipsum aliquam non,augue luctus tincidunt,1613,280
148,at feugiat non pretium,fermentum justo nec condimentum neque,2803,62
149,faucibus accumsan odio curabitur,ante ipsum primis in faucibus orci luctus et ultrices,2712,143
150,elit ac,rhoncus aliquam lacus morbi quis tortor id nulla,2382,204
151,ipsum primis in faucibus orci luctus,tempus vivamus in felis eu,1505,203
152,cubilia curae mauris viverra diam vitae,in,2723,260
153,donec posuere metus vitae ipsum aliquam,cras pellentesque volutpat dui maecenas tristique,1083,161
154,feugiat non pretium quis lectus,elit proin interdum mauris non ligula pellentesque ultrices,139,20
155,pellentesque volutpat dui,nibh in quis justo,475,28
156,in,ut,111,212
157,et tempus semper est quam,sapien urna,1118,129
158,donec quis orci eget orci,eleifend pede libero quis orci nullam,2127,181
159,hac habitasse platea dictumst,nulla nisl nunc nisl duis bibendum,1102,258
160,accumsan odio curabitur convallis duis consequat,dis,762,244
161,enim leo rhoncus,potenti in eleifend quam a odio,2363,9
162,lobortis convallis tortor,in faucibus orci luctus et ultrices posuere,1688,74
163,volutpat convallis morbi odio odio elementum,in faucibus orci luctus,441,171
164,convallis eget eleifend,imperdiet,1102,118
165,eros vestibulum ac,odio,414,114
166,dui vel,tempus sit amet sem fusce consequat nulla,611,288
167,nisl nunc rhoncus dui,rutrum nulla tellus in,1701,137
168,arcu,vestibulum ante ipsum primis in faucibus orci luctus et,521,68
169,consequat,amet diam in magna bibendum imperdiet nullam orci pede,1993,17
170,diam erat,quis turpis eget elit sodales scelerisque mauris sit amet eros,2495,183
171,faucibus cursus urna ut tellus,dui proin leo odio,1991,122
172,congue vivamus,cubilia curae nulla dapibus dolor vel est donec odio justo,1177,27
173,vitae nisi nam,aliquet pulvinar sed nisl nunc,2597,201
174,ante,neque duis,10,253
175,integer tincidunt ante vel ipsum,posuere nonummy integer non velit donec diam,407,92
176,ut tellus nulla ut erat,amet sem,1139,202
177,vulputate justo in,sit amet sem fusce consequat nulla nisl nunc nisl duis,1447,296
178,turpis integer aliquet massa id lobortis,integer,2839,155
179,facilisi cras,pharetra magna ac consequat metus,284,106
180,massa id lobortis convallis,dui vel nisl duis ac nibh fusce lacus,285,105
181,amet eros suspendisse accumsan,ligula in lacus curabitur at ipsum ac,1951,152
182,interdum mauris non ligula pellentesque ultrices,ut odio,2353,199
183,in hac,risus semper porta volutpat,2459,169
184,amet consectetuer adipiscing elit,quis libero,1268,234
185,mi pede,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,454,280
186,rutrum at lorem,ultrices posuere cubilia curae donec pharetra,1623,164
187,ante nulla,aliquet ultrices,2436,95
188,cubilia curae mauris viverra,in faucibus orci luctus et ultrices posuere cubilia curae,1723,127
189,erat,nam dui proin leo odio,2909,80
190,luctus tincidunt,lectus aliquam sit amet diam in magna bibendum imperdiet,1012,107
191,sapien varius ut blandit non,vestibulum aliquet,1184,151
192,sed,sagittis sapien cum sociis natoque penatibus et,1558,206
193,sed nisl,facilisi cras non,2732,140
194,sem duis aliquam convallis,curabitur at ipsum ac tellus semper,1164,180
195,quam sollicitudin vitae consectetuer eget rutrum,sodales scelerisque,976,158
196,fermentum donec ut mauris eget,natoque penatibus et,1560,294
197,pede ac diam cras pellentesque,enim lorem ipsum dolor sit amet,2429,235
198,aliquam lacus morbi,leo odio condimentum id luctus nec molestie sed justo pellentesque,1362,80
199,sit amet diam in,dictumst,202,190
200,rutrum nulla nunc purus phasellus,congue diam id ornare imperdiet,2676,180
201,justo,quam suspendisse potenti,1552,53
202,nisl aenean lectus pellentesque eget,cum sociis natoque penatibus et magnis dis parturient montes nascetur,2065,135
203,justo eu massa,massa quis augue luctus,2618,175
204,parturient montes nascetur ridiculus,justo maecenas rhoncus,1489,243
205,auctor sed tristique,blandit,1228,238
206,penatibus et magnis dis,elementum in hac habitasse platea dictumst morbi vestibulum velit,69,130
207,quis libero nullam sit amet turpis,posuere felis sed lacus morbi sem,1398,128
208,accumsan tellus nisi,ligula suspendisse ornare consequat lectus in est risus auctor sed,540,211
209,tortor sollicitudin mi,molestie lorem quisque ut erat curabitur gravida nisi at,1115,246
210,a,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,1204,237
211,fermentum justo nec condimentum neque,at,737,297
212,et tempus semper,molestie sed justo pellentesque viverra pede,1018,85
213,donec ut dolor morbi vel lectus,feugiat et eros vestibulum ac,666,135
214,at velit eu est congue,molestie nibh in lectus pellentesque,1072,25
215,ut tellus nulla ut erat,at nulla suspendisse potenti cras in purus eu magna,1204,47
216,donec,pede venenatis non sodales,1543,21
217,sed augue aliquam erat,lorem vitae mattis nibh ligula,387,103
218,sodales sed tincidunt eu felis,integer ac neque duis bibendum morbi non quam,1377,194
219,aliquet ultrices erat tortor sollicitudin,nulla elit ac nulla sed vel enim sit amet,2940,170
220,in,vel ipsum praesent blandit lacinia erat,370,253
221,blandit ultrices enim lorem ipsum dolor,sed vel enim sit amet nunc viverra dapibus nulla suscipit,2860,120
222,sem,amet consectetuer adipiscing,2946,227
223,nibh in hac habitasse platea,vel,686,195
224,id massa id nisl,tempus semper est quam pharetra magna ac consequat metus sapien,427,291
225,ipsum,vel nulla eget,1167,39
226,sit amet,et,593,123
227,vivamus in felis eu,proin risus,1605,171
228,quam fringilla rhoncus mauris,sagittis nam congue,3000,214
229,in quis justo maecenas,est,1671,44
230,congue eget semper,lectus,2327,286
231,cursus urna ut tellus,accumsan felis ut at dolor quis odio consequat,700,97
232,id nulla,vitae nisi nam,1845,267
233,in faucibus orci,blandit nam nulla integer pede justo,1481,194
234,duis bibendum morbi non,nulla,1591,3
235,erat vestibulum,vitae,2869,36
236,ac est lacinia nisi venenatis tristique,praesent,2436,51
237,elementum,cursus vestibulum proin eu mi nulla ac enim in,1700,187
238,maecenas pulvinar lobortis est phasellus sit,in felis donec semper sapien a libero,2990,148
239,eu felis fusce posuere felis,vehicula condimentum curabitur in,2828,250
240,dui luctus rutrum nulla tellus,pellentesque ultrices,2497,207
241,ultrices aliquet maecenas,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,699,54
242,mauris non ligula pellentesque ultrices phasellus,posuere cubilia curae donec pharetra magna vestibulum,2907,35
243,ipsum praesent,amet turpis elementum ligula vehicula consequat morbi,1630,10
244,felis donec semper sapien a libero,donec posuere metus,767,182
245,augue quam,proin eu mi nulla ac,2182,285
246,sociis natoque penatibus et magnis,mauris non ligula pellentesque ultrices,2121,265
247,nulla,interdum mauris,52,42
248,at turpis a pede posuere nonummy,quam pharetra magna ac consequat metus sapien ut,96,282
249,augue,cubilia curae,1679,1
250,congue diam id ornare,non quam nec dui luctus rutrum nulla tellus,774,286
251,duis aliquam convallis,pulvinar nulla pede ullamcorper,1555,224
252,eu interdum,et ultrices posuere,40,226
253,phasellus,curabitur gravida nisi at nibh in hac,958,111
254,interdum,morbi odio odio elementum eu interdum eu tincidunt,2455,298
255,magna vulputate luctus cum sociis natoque,eleifend luctus ultricies eu nibh quisque id justo sit amet,148,168
256,porttitor pede justo eu massa,lorem,1813,277
257,odio consequat varius,amet,1253,127
258,urna ut,imperdiet nullam orci pede venenatis non sodales,2046,165
259,sociis natoque penatibus et magnis,id massa id nisl venenatis lacinia aenean sit amet,777,189
260,diam in magna bibendum,in,488,179
261,augue vestibulum rutrum,et,2775,13
262,lobortis vel,quisque id justo sit amet sapien dignissim vestibulum,2120,24
263,magnis dis parturient montes,in quis,1520,156
264,nunc nisl duis bibendum felis sed,duis aliquam convallis nunc,2917,144
265,lobortis est phasellus sit amet,ornare imperdiet sapien urna pretium nisl,716,261
266,massa id nisl venenatis lacinia aenean,mauris sit amet,13,216
267,aenean lectus pellentesque eget nunc donec,rutrum rutrum neque aenean auctor gravida sem,830,287
268,dictumst morbi vestibulum velit id,duis bibendum felis sed interdum venenatis turpis enim blandit,1693,61
269,congue elementum in hac habitasse,duis consequat dui nec nisi volutpat,374,196
270,ipsum primis,feugiat et eros vestibulum ac est,1107,42
271,ac nulla sed,donec semper sapien a libero nam dui,288,278
272,augue a suscipit nulla,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1386,224
273,primis in,felis eu sapien cursus vestibulum proin eu,1743,65
274,varius integer,mattis odio donec vitae nisi,261,275
275,ligula pellentesque ultrices phasellus id,est et tempus semper est quam pharetra magna ac,334,196
276,habitasse,elit proin interdum mauris non ligula,140,256
277,etiam,magna vulputate luctus cum sociis natoque penatibus et magnis dis,1065,33
278,potenti cras,hendrerit at vulputate vitae nisl,968,250
279,aliquam erat volutpat,mattis nibh ligula,1463,54
280,accumsan odio curabitur convallis,quisque id justo sit amet sapien dignissim vestibulum,2897,99
281,erat,rutrum rutrum neque aenean auctor gravida sem praesent id,2755,92
282,in leo maecenas pulvinar lobortis est,imperdiet sapien urna,146,89
283,nunc donec quis orci,interdum mauris non ligula pellentesque ultrices phasellus id,326,160
284,libero ut massa volutpat convallis,tortor sollicitudin mi sit amet lobortis sapien sapien,646,54
285,nisl nunc rhoncus,lectus in quam,432,136
286,lacinia aenean sit,nunc commodo placerat praesent blandit nam nulla integer pede,964,235
287,eget eleifend luctus ultricies eu,ipsum integer,874,140
288,dapibus duis at velit eu est,in quis justo,1444,6
289,posuere nonummy integer non,potenti nullam porttitor lacus at turpis,527,282
290,augue luctus,vestibulum sed magna at nunc commodo,1581,152
291,mus,curae mauris viverra diam,405,50
292,cursus id turpis integer,dictumst etiam faucibus cursus,2890,47
293,orci mauris lacinia sapien quis,consequat nulla nisl nunc,2935,230
294,ut,justo sollicitudin,1048,79
295,eu massa,magna bibendum imperdiet nullam orci,1241,298
296,nulla suspendisse potenti cras in purus,magna vulputate luctus cum,1378,119
297,diam erat fermentum,vulputate justo in blandit ultrices,58,251
298,justo,eget tincidunt eget tempus vel pede morbi porttitor lorem id,427,274
299,sapien dignissim,posuere cubilia curae duis faucibus accumsan odio,131,298
300,sodales sed tincidunt,eu massa donec dapibus,16,151
301,interdum mauris ullamcorper purus sit amet,nisi,1401,31
302,quis turpis sed,turpis elementum ligula vehicula,2737,160
303,nec nisi vulputate nonummy maecenas tincidunt,fusce,1019,112
304,tincidunt lacus at velit,nullam,2044,293
305,sagittis,vel sem sed sagittis nam,1231,19
306,morbi porttitor lorem id,in lacus curabitur at ipsum ac tellus semper,763,18
307,justo morbi ut odio cras,pede libero quis,2880,78
308,quis augue luctus,ut odio cras mi pede,2322,10
309,pellentesque ultrices mattis odio donec vitae,at lorem,1545,246
310,tellus nisi eu,id lobortis convallis tortor risus dapibus augue vel accumsan tellus,2497,221
311,molestie,luctus,1692,227
312,condimentum id,nonummy maecenas tincidunt lacus,2654,9
313,accumsan felis,eleifend donec ut dolor morbi vel lectus in quam fringilla,350,154
314,sed sagittis nam congue,justo in hac habitasse platea dictumst etiam faucibus cursus,1303,300
315,nisi venenatis tristique fusce congue,nulla pede ullamcorper augue a suscipit,97,221
316,a suscipit nulla elit,libero,2248,225
317,erat curabitur gravida nisi,vel accumsan tellus nisi eu orci mauris,1499,154
318,justo pellentesque viverra pede ac,sapien iaculis congue vivamus metus arcu adipiscing molestie,2139,5
319,semper sapien a,dapibus duis at velit eu est congue,1350,19
320,duis consequat dui nec,orci,1102,193
321,adipiscing lorem vitae mattis nibh,donec,987,286
322,rhoncus aliquam lacus,justo,1647,229
323,ultrices libero non mattis,feugiat non pretium quis lectus suspendisse potenti,1891,260
324,blandit ultrices,nisl nunc rhoncus dui vel sem sed sagittis nam,2139,10
325,pellentesque ultrices phasellus,in purus eu magna,1679,102
326,aliquet massa,ante vivamus tortor duis mattis egestas,1661,67
327,odio in hac habitasse platea dictumst,nullam orci pede venenatis non,2676,278
328,mauris laoreet ut rhoncus,cras non velit nec nisi,743,22
329,aliquam convallis nunc,neque,1046,197
330,elit proin risus praesent lectus vestibulum,integer a nibh in quis justo maecenas,524,291
331,aliquam,eu est congue elementum,1195,22
332,varius nulla,nibh fusce lacus purus aliquet at feugiat non pretium,420,23
333,ultrices libero,venenatis non sodales sed tincidunt eu,25,9
334,amet eros suspendisse,vestibulum vestibulum ante ipsum,1282,295
335,diam nam tristique tortor,quam pharetra,448,81
336,nonummy integer non,morbi ut odio cras mi pede malesuada in imperdiet et,2500,122
337,quisque porta volutpat,tincidunt nulla mollis molestie lorem quisque,1141,26
338,massa tempor convallis nulla neque,ac consequat,2286,184
339,montes nascetur ridiculus,sem sed sagittis nam congue risus semper porta,2264,292
340,consectetuer adipiscing elit proin interdum,orci vehicula condimentum curabitur in libero ut,2712,215
341,mattis egestas metus,suscipit a feugiat,802,133
342,congue vivamus metus arcu adipiscing molestie,purus aliquet at feugiat non,2829,16
343,montes nascetur ridiculus mus vivamus,habitasse platea dictumst,329,191
344,ante vel ipsum,tincidunt nulla mollis molestie lorem quisque,1792,226
345,pede morbi porttitor lorem id,ultricies eu,2252,12
346,curae duis,imperdiet sapien urna pretium nisl ut volutpat,1393,2
347,hendrerit at,ac,1931,118
348,blandit,elementum pellentesque quisque porta volutpat erat,2851,278
349,leo rhoncus sed vestibulum sit amet,sed lacus,1033,151
350,felis sed interdum venenatis,nam ultrices libero non mattis pulvinar nulla pede ullamcorper,891,236
351,praesent blandit,porttitor lorem id ligula suspendisse,1513,289
352,vel sem sed,pretium iaculis,264,137
353,aliquet massa id,vitae consectetuer eget rutrum at lorem integer tincidunt ante,2842,3
354,integer,pede justo lacinia eget tincidunt eget tempus,1154,57
355,pellentesque volutpat dui maecenas tristique est,at velit vivamus vel nulla eget,2233,45
356,aliquet massa id lobortis convallis,blandit non interdum in ante vestibulum ante,2194,264
357,in sagittis dui vel nisl duis,ridiculus mus vivamus,1157,203
358,lectus pellentesque eget nunc donec,vel sem sed,1585,172
359,semper rutrum nulla nunc purus,ut blandit,1806,258
360,erat fermentum justo nec condimentum,nec,1585,298
361,iaculis justo in hac,vitae nisl aenean lectus pellentesque eget nunc donec quis orci,31,203
362,ridiculus mus,lectus in est risus,1931,30
363,tristique tortor,lobortis est phasellus sit,1648,108
364,consequat varius integer,sapien in sapien iaculis congue vivamus,2036,289
365,turpis nec euismod,suspendisse potenti,1082,28
366,cras in,amet lobortis sapien sapien non,1270,102
367,ultrices aliquet maecenas leo odio condimentum,in lectus pellentesque at nulla suspendisse,1426,55
368,in tempus sit amet sem,velit nec nisi vulputate nonummy maecenas tincidunt lacus at,1237,243
369,turpis enim blandit mi,pulvinar lobortis,337,39
370,sagittis sapien cum,sollicitudin ut suscipit a feugiat et eros vestibulum ac est,1465,148
371,sed,tristique fusce congue diam id ornare,2905,86
372,adipiscing lorem,scelerisque quam turpis adipiscing lorem vitae mattis nibh,1264,261
373,mus vivamus vestibulum sagittis,nam nulla integer pede justo lacinia eget tincidunt eget,907,97
374,luctus ultricies eu nibh quisque,lacus morbi sem,254,40
375,nibh,vestibulum ante ipsum primis in,1619,227
376,ut,vestibulum ante ipsum primis in faucibus orci,1904,279
377,semper rutrum nulla nunc purus,iaculis diam erat fermentum justo nec condimentum neque sapien,2526,121
378,ultricies eu nibh quisque id justo,lobortis est phasellus,1229,201
379,magna at nunc commodo placerat,magnis dis parturient montes,1993,61
380,molestie hendrerit at,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,536,153
381,dictumst morbi vestibulum velit id pretium,sagittis sapien cum sociis,2210,107
382,lacinia erat vestibulum sed,posuere cubilia curae donec pharetra magna,2153,251
383,urna pretium nisl ut volutpat sapien,lectus in quam fringilla rhoncus mauris enim leo,1459,110
384,cras in purus eu magna,auctor sed tristique in tempus,1148,185
385,nibh quisque id justo sit amet,odio odio elementum eu interdum eu tincidunt,2680,136
386,est quam,ante nulla justo aliquam quis,675,14
387,diam cras,amet,1296,267
388,euismod scelerisque,sed vel enim sit amet,1953,131
389,ultrices posuere,justo sit amet sapien dignissim vestibulum vestibulum,72,220
390,erat eros,sit amet diam in magna,423,13
391,nunc rhoncus dui vel sem sed,egestas metus aenean fermentum,1735,178
392,consequat ut nulla sed accumsan felis,in lacus curabitur at ipsum ac tellus,474,284
393,quam,eget vulputate ut ultrices,1332,247
394,ipsum ac tellus semper,volutpat eleifend donec ut dolor,124,49
395,congue,pede posuere nonummy,2759,247
396,est risus auctor sed,in sapien iaculis congue vivamus metus arcu adipiscing molestie,2982,137
397,eleifend pede libero quis orci nullam,nulla nunc purus phasellus in felis,2492,291
398,in ante vestibulum,interdum venenatis turpis,2658,36
399,nec,condimentum id luctus nec molestie sed,2769,117
400,sit amet,erat,2597,186
401,accumsan tellus nisi eu,suspendisse accumsan tortor quis turpis sed ante vivamus,2008,283
402,ut odio cras mi,felis eu sapien,226,244
403,in faucibus orci luctus et ultrices,quam sollicitudin,2073,118
404,amet sem fusce consequat nulla,ipsum praesent blandit lacinia erat vestibulum,1941,278
405,interdum mauris non ligula pellentesque ultrices,mauris sit amet eros suspendisse accumsan tortor quis,1389,275
406,dapibus at,vestibulum quam sapien varius ut blandit,2015,29
407,cubilia curae donec pharetra,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,250,268
408,in,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,372,89
409,diam,mauris enim leo,868,238
410,lectus suspendisse potenti in eleifend,nisi venenatis tristique fusce congue,1880,200
411,pede justo lacinia eget tincidunt eget,aliquam sit amet diam in magna bibendum imperdiet nullam orci,2270,276
412,pretium iaculis diam erat fermentum,aliquet,1635,78
413,feugiat non,mattis odio donec vitae nisi nam ultrices,2366,153
414,amet eleifend pede libero,lorem,2254,19
